,date,review,rating,isEdited,userName,title,developerResponse
14,2020-10-13 05:46:38,"Tôi sử dụng ứng dụng TP bank trên thiết bị Iphone 6 và 7. Giao diện chuyển tiền của TP bank tệ nhất trong các ứng dụng tôi đã từng sử dụng (đối với thiết bị của tôi): Lúc chuyển tiền khung ""từ tài khoản"" (thông tin người gửi) được giữ cố định nên mất diện tích phần nội dung chuyển tiền, lúc tôi nhấn vào nhập số tài khoản thì bàn phím hiện lên và che mất phần nội dung chuyển tiền nên tôi không thể thấy nội dung cần nhập. Nếu bạn có cần hình ảnh tôi có thể gửi để bạn khắc phục, thật sự rất khó chịu.",2,False,ihoang.a,Giao diện chuyển tiền không tối ưu,
15,2020-04-25 03:59:36,"Thực hiện thao tác chuyển khoản qua ebanking - mình thử cả phiên bản web và bản iOS apps đều không được.
• lúc hiển thị ngân hàng, lúc không
• bản apps không nhập được số tiền muốn chuyển 
• bản web điền đủ thông tin, nút “tiếp tục” hiện lên. Bấm vào không có phản hồi

Gọi lên tổng đài hỗ trợ thì nhân viên cứ khăng khăng như người máy. Cứ “vầngggg apps của em vẫn đang chạy bình thường” “vầngggg hệ thống của em vẫn bình thường”.
Em ơi nếu bình thường thì anh gọi em làm gì???? Anh cũng thử xoá apps, xoá cache web, thoát ra vào lại apps cũng khét lẹt máy rồi anh mới gọi chứ? Em có hiểu công việc của mình không vậy?",1,False,papaschicken88,Bản apps ios và bản web đều lỗi,
16,2019-12-17 15:37:29,"Khi chuyển tiền đến phần nhập mã etoken, phía trên có nút tắt ấn mở nhưng không vào thẳng app etoken mà phải vào qua 1 lần trên appstore khá bất tiện.",3,False,abcdebg,Mã etoken,
17,2019-12-07 15:41:37,Ko hiển thị full màn hình,1,False,NTT156,Lỗi hiển thị,
18,2019-06-29 04:11:55,"performance rất thấp, cần thay đội ngũ dev và pm chất lượng hơn, tester chưa test ra hết bug, độ phản hồi chưa cao, cần học hỏi bên Timo nhiều",1,False,dev_junior,Ứng dụng chạy chậm và nhiều bug,
19,2019-01-28 04:39:48,"Giao diện, độ trễ và phản hồi ứng dụng. Thật sự rất tệ. Gần 1 năm hoạt động mà tệ không chịu được. Học hỏi vietcombank và timo dùm được không. Tệ không thể chịu được. Người dùng Muốn đổi ngân hàng khác xài vì cái ứng dụng liệu có đáng. 1 là không làm. 2 là làm cho ra trò.",1,False,PhanTung2502,Trải nghiệm tệ,
20,2021-05-21 12:15:36,TPbank nên hộ trợ đóng tk bằng app,5,False,vuonganh90,Có phần đóng tk bằng app,
21,2019-06-08 23:07:05,Ứng dụng này rất hữu ích,5,False,tagsbbd,Rất tốt,
22,2020-04-04 13:08:56,"App bản mới có hiệu ứng khi mở để hiển thị logo Tpbank rất rườm rà, ko rõ nét (trên iphone xs max). Khi khách hàng mở app là muốn nhanh chóng vào để sử dụng nhưng phải chờ cho hết cái hiệu ứng đó rất khó chịu. 
Chưa hết, tring khi nhiều ngân hàng tích hợp thẳng etoken vào cùng 1 app (tiêu biểu như Vietcombank) để khách hàng tiện sử dụng thì app tpbank vẫn yêu cầu khách mở 1 app token riêng, switch qua lại rất bất tiện.
Nên chua trọng vào mức độ thân thiện, dễ dùng để hướng đến sự chuyên nghiệp, tránh những thứ màu mè không cần thiết",1,False,longnd,"Hiệu ứng rườm rà, chưa thân thiện",
23,2019-12-17 14:35:20,"app còn một đống lỗi mà đã go live rồi, app cũ đang dùng tốt. by the way, thằng nào làm app ngu thế, fpt nhiều ng giỏi lắm mà làm cái app ngu vl thế này",1,False,fpt emp,app tải data chậm như rùa,
24,2019-07-07 04:56:34,"lúc load vào Tk để tất toán còn chờ lâu,mong ad cải thiện.",4,False,tùng 1811,Tất toán TK còn chậm,
25,2019-06-29 05:08:12,"Sắp 2020 rồi mà giao diện còn 2 mảng đen trên và dưới, thuê thêm 1 designer,
Còn về app thì độ trễ còn quá cao, rất mong ngân hàng tuyển hay đổi coder cũ đi,",1,False,tenchuasudung,Giao diện xấu,
26,2023-02-07 03:54:15,Muốn thay đổi sđt của tài khoản nhưng ngta kêu ra chi nhánh. Mà từ nhà tới chi nhánh lại gần 35-40km :)),4,False,caohien264,Không thích,"{'id': 34762477, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2023-02-09T02:41:34Z'}"
27,2019-04-24 10:02:18,"Các hiệu ứng chuyển trang trong app khá nặng nệ và chậm, nhìn giao diện cũng rối nữa, nhờ các bạn dev cải thiện lại.

Cách duy nhất là đập ra xây lại, chưa thấy app ngân hàng nào vừa tù mà chậm chạp như app này. Sorry mình chửi hơi quá đáng nhưng sự thật là vậy.",1,False,phattn1,app quá ì ạch,
28,2019-03-02 01:07:10,Thằng dev nào lập trình ra cái này đêos có tâm gì. App lúc nào cũng phản hồi rất chậm,1,False,truỵdkd,App quá tệ,
29,2023-02-15 12:23:59,app rẻ rách nhất từ trước đến giờ,1,False,dưnud,bực,"{'id': 34924281, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2023-02-17T09:20:31Z'}"
30,2023-02-13 14:18:41,app nhiw đặc cầu,1,False,kshwva,app bịp hs vn,"{'id': 34924272, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2023-02-17T09:20:15Z'}"
31,2023-02-09 03:40:10,"bank tiền cho người khác báo lỗi, nhưng vẫn thấy trừ tiền mãi không thấy hoàn về, bên nhận cũng không nhận được tiền",1,False,vat003,lỗi chuyển tiền,"{'id': 34810943, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.\n', 'modified': '2023-02-11T17:21:40Z'}"
32,2023-01-30 06:20:55,Team không test game. Lỗi văng ra. Mất lượt chơi liên tục. Có 1 chữ chơi 100 lần chưa ra,3,False,Robivu,Game mèo hý du ký lỗi,"{'id': 34660735, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2023-02-03T14:05:13Z'}"
33,2023-01-30 03:53:32,Chơi game mèo hí toàn bị lỗi out ra,3,False,xu99200,Lỗi,"{'id': 34660725, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2023-02-03T14:04:23Z'}"
34,2023-01-30 05:57:18,"Game chơi lag, mất thời gian chơi, lại không có quà. Đang chơi lại thoát giữa chừng! Tốt nhất đừng làm.",1,False,nqsuper111,Game mèo hí lừa đảo,"{'id': 34660732, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2023-02-03T14:04:58Z'}"
35,2023-01-26 03:51:26,Cứ đến đoạn cuối 5 hộp quà là lại lỗi có cái j đó sai sai. Câu ng chơi đến còn thiếu mỗi chữ lộc nhưng ko bao giờ ra đc thêm chữ lộc nữa,3,False,duc anh phung minh,Game lừa :)),"{'id': 34512452, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn', 'modified': '2023-01-27T08:06:31Z'}"
36,2023-01-27 16:33:18,Chơi game hay bị văng. Lượt hái lộc không được mặc dù làm đúng nhiệm vụ,1,False,Adonis0202,Sự kiện,"{'id': 34539215, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn\n', 'modified': '2023-01-29T08:11:57Z'}"
37,2023-01-27 16:20:00,Chơi game mèo hí mà lỗi liên tục :) không hiểu làm campaign Tết kiểu gì,1,False,Camellia Trieu,Lỗi app,"{'id': 34539191, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn\n', 'modified': '2023-01-29T08:11:04Z'}"
38,2023-01-27 15:40:17,Đang chơi dở và chết toàn hiện lỗi không nhận được quà và mất luôn số quà đó và bị văng ra trang chủ luôn,1,False,tuananh200,Sự kiện mèo hí,"{'id': 34539199, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn\n', 'modified': '2023-01-29T08:11:18Z'}"
39,2023-01-21 05:11:00,"App làm sự kiện chơi game mà bị lỗi suốt, mỗi lần lỗi là mất luôn lượt chơi",2,False,susihfhjdiw,App lỗi,"{'id': 34466948, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank Cám ơn và rất mong sẽ được đồng hành cùng Bạn.\n', 'modified': '2023-01-25T00:16:04Z'}"
40,2023-01-21 04:53:30,App game bao ăn gian. Cứ 4 hộp quà là lỗi bị out ra :),5,False,mínks,Mèo Hí,
41,2023-01-13 07:13:26,ToBank nên đầu tư vào mảng server đi nhé. Cứ bị quá tải hoài.,3,False,thangtv611,Hệ thống rất hay bị quá tải,"{'id': 34283218, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2023-01-14T14:44:25Z'}"
42,2022-08-06 14:10:21,"Nói thật chú app cũ đang ngon lành, nâng cấp cái lỗi lòi ra",2,False,something was wrong,App chán,"{'id': 31358125, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2022-08-09T08:09:17Z'}"
43,2022-10-22 13:12:02,Thẻ visa bị trừ tiền mà không hiện trên lịch sử giao dịch hay có sms thông báo. Tìm hỗ trợ cũng có mỗi con bot tiếp chuyện :),1,False,Lục Tiến Đạtz,Chịu,"{'id': 32737925, 'body': 'Chào Bạn ! TPBank xin lỗi bạn về sự bất tiện đã gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank.Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2022-10-24T02:10:43Z'}"
44,2021-12-10 13:01:42,Thủ tục rắc rối lằng nhằng liên hệ tổng đài viên lằng nhằng chắp nhận gọi tổng đài tốn phí mà nhân viên cứ cà rề chậm chạp có vấn đề xin mật khẩu kích hoạt thẻ nói cả chục lần mới chịu hiểu !,2,False,bìnhan000,Thủ tục rắc rối,
45,2022-06-21 06:50:24,"Nhân viên lừa khách hàng đăng kí tk có ngay 500k, kh đăng kí xong chặn luôn khách hàng",1,False,phongnv1102,Lừa đảo,"{'id': 30630875, 'body': 'Chào Bạn ! TPBank rất xin lỗi bạn về sự bất tiện Bạn gặp phải ạ.\r Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau:\r Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036\r Email: dichvu_khachhang@tpb.com.vn\r Fanpage: https://www.facebook.com/TPBank\r Cám ơn và rất mong sẽ được đồng hành cùng Bạn.\r\n', 'modified': '2022-06-30T01:20:17Z'}"
46,2022-05-01 01:42:19,"Whenever I open the app, it collects my clipboard history. 
“TP Bank mobile pasted from ….”

It seem like collecting my data.
REMOVE THIS please!",1,False,wegah,App collect my clipboard,"{'id': 29525677, 'body': 'Hello ! TPBank is very sorry for the inconvenience you experienced. To support the fastest information check, please connect to TPBank via the following channels: Hotline 24/07: 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https: //www.facebook.com/TPBank Thank you and look forward to accompanying you.', 'modified': '2022-05-03T07:28:41Z'}"
47,2022-04-19 06:04:39,Có phải đây là 1 tính năng để mn đăng ký sms? Đội dev nên làm việc lại vs PO.,1,False,vuongtuananh,Thường xuyên không nhận được notification nhận rút tiền,"{'id': 29319265, 'body': 'Chào Bạn ! TPBank rất xin lỗi bạn về bất tiện bạn gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2022-04-22T01:16:14Z'}"
48,2022-04-18 02:38:23,lỗi suốt cả tuần vừa rồi bâyh tôi vẫn không vào được!!,1,False,Chuudayne,LỖI ĐĂNG NHẬP,"{'id': 29253554, 'body': 'Chào Bạn ! Cám ơn Bạn đã quan tâm và sử dụng sản phẩm dịch vụ của TPBank\r Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau:\r Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036\r Email: dichvu_khachhang@tpb.com.vn\r Fanpage: https://www.facebook.com/TPBank\r Cám ơn và rất mong sẽ được đồng hành cùng Bạn.\r', 'modified': '2022-04-19T08:14:41Z'}"
49,2022-03-24 15:06:04,"Yêu cầu reset lại mật khẩu và mã kích hoạt, cài app đăng nhập toàn báo lỗi ko có mã kích hoạt, gọi lên tổng đài bảo xoá app cài lại kiểu support theo script soạn sẵn vô cảm, làm lại vẫn thế, gọi hỗ trợ máy bận :( trãi nghiệm thật tệ",1,False,soibien0907,App UX rất tệ,"{'id': 28791991, 'body': 'Chào Bạn ! TPBank rất xin lỗi bạn về bất tiện bạn gặp phải. Để hỗ trợ kiểm tra thông tin nhanh nhất, Bạn vui lòng kết nối đến TPBank qua các kênh sau: Hotline 24/07 : 1900 5858 85/ 02437 683 683/ 1900 6036 Email: dichvu_khachhang@tpb.com.vn Fanpage: https://www.facebook.com/TPBank Cám ơn và rất mong sẽ được đồng hành cùng Bạn.', 'modified': '2022-03-26T05:55:40Z'}"
50,2022-01-05 01:43:21,Hàng tháng trừ phí quản lý ngày cuối tháng vậy mà qua gần cả tuần tháng mới vẫn bị trừ.,1,False,makaiki,Làm ăn dối trá,
51,2021-12-31 12:03:16,"Chưa thấy ngân hàng nào lỗi nhiều như ngân hàng này, hết live bank đến app bảo trì",1,False,phuocdn,Atm live bank rất rất nhiều lỗi,
52,2021-12-27 15:22:19,Ngân hàng số gì mà app ngu thấy bà,1,False,phebinhchinhdang,App tệ hại,
53,2021-12-12 23:33:58,"Rườm gà hơn MB bank nhiều
Ở huyện không có ngân hàng TB thit làm chó gì mà đăng kí?",1,False,Su..Su..,Phiền phức,
54,2021-12-11 11:56:40,Tổng đài ko gọi liên lạc khách phải chờ đợi quá lâu ko phản hồi,1,False,hỏi cái j,Dịch vụ chăm sóc khách kém,
55,2021-12-11 06:26:31,"Chẳng hiểu sao mỗi lần cứ giao dịch ngay ngày thứ 6 là bị treo và phãi đành đợi tới thứ 2 mới đc nhận tiền vì t7, Cn không làm việc? 1-2 lần k nói trong khi đã nhiều lần rồi, chắc phãi đỗi sang ngân hàng khác quá, nãn thật sự",1,False,Zip3Zip,Giao dịch lỗi,
56,2021-12-11 02:09:28,App lag kinh khủng,1,False,Adu 12345,App lag,
57,2021-12-09 10:22:10,"Dạo này dịch vụ ebank của TPB rất đi xuống, tháng lỗi vài lần, server treo suốt ngày. Đề nghị đuổi việc CTO với CIO, tìm người mới để chất lượng tốt hơn. KH trung thành của TPB bao năm nay :(",1,False,LinkLeads.vn,Ebank lỗi chuyển tiền tháng vài lần,
58,2021-12-09 10:21:41,"App lỗi triền miên, update còn bị lỗi hơn, cần nâng cao chất lượng",1,False,nthdat,Hãy lắng nghe khách hàng,
59,2021-12-08 03:38:51,"Đăng nhập nhưng liên tục báo ĐĂNG NHẬP KHÔNG THÀNH CÔNG KHÔNG THỂ KẾT NỐI ĐẾN MÁY CHỦ trong khi các app của các ngân hàng khác vào ngon lành
Quá tồi",1,False,Người đang dùng TPbank,Quá chán,
60,2021-07-13 14:48:16,"Góp ý là nên để giao diện thanh thoát hơn và theo phong cách trẻ trung hơn 
Giao diện hiện tại hơi theo xu hướng và màu sắc các tiện ích không được thích mắt",5,False,hungvn73,Khá tốt,
61,2021-12-05 15:43:59,Làm các bước chụp hình các kiểu xong báo không dky được phải ra chi nhánh tpbank dky!,1,False,centtt,Không đăng ký được,
62,2021-12-03 07:26:16,Đăng ký vài lần rồi nhưng vẫn bị thông báo là không đăng ký được.,1,False,Sữa baeb,Không mở được tài khoản online,
63,2021-12-02 15:22:57,"Chưa thấy ngân hàng nào ứng dụng tệ hại hơn ngân hàng này, load chậm mà đăng ký quá rườm rà, vì làm công nhân do doanh nghiệp buộc phải xử dụng nếu được quyền chọn tôi sẽ không bao giờ quan hệ với ngân hàng này.",1,False,Baoquang,Quá tệ!,
64,2021-11-30 05:33:45,"M nghĩ app nên có thông tin tên, stk người chuyển tiền đến tkhoan Tp bank và thời gian của giao dịch.",4,False,con mèo thúi,Góp ý cải thiện app,
65,2021-11-29 10:31:47,"Sửa lại bản cập nhật mới nhất đi TPbank ơi. Cập nhật app xog lỗi tùm lum. 5 lần 7 lượt bắt phải tích hợp lại etoken với lý do đăng nhập trên thiết bị mới trong khi KHÔNG HỀ đăng nhập trên thiết bị mới. Ko dùng đc faceid để đăng nhập nữa,…",3,False,Bongbong47,YÊU CẦU SỬA LẠI BẢN CẬP NHẬT,
66,2021-11-27 02:57:34,Update mới cái tự nhiên bắt đi kiếm etoken+ lại mà không thông báo hay có chỉ dẫn gì trên app tới khi người ta cần dùng app gì tùm lum thứ tới mấy tiếng sau mới có etoken mới bó tay.,1,False,[]rhfgjb,Update mới lỗi,
67,2021-11-26 13:19:06,Quá tồi tệ,1,False,quẻhbfbxvvssi,Tệ,
68,2021-11-09 05:08:41,"Nhân viên hỗ trợ hỏi liên thiên, xong bắt chờ rồi tính cước 2000₫/phút",1,False,Không có tên89a6,Hỗ trợ kém,
69,2021-10-15 10:23:16,"Hồi đầu xài TP ổn lắm mà dạo này TP lúc nào cũng lỗi
Chuyển tiền trong TP với nhau thôi mà làm đi làm lại 3-4 lần bị lỗi miết mới chuyển được
Đường đường là ngân hàng số đi đầu
Giờ k lo chăm chút cho hệ thống của mình mất khách ráng chịu à",1,False,jubidah,Lúc nào cũng lỗi k sử dụng app được,
70,2021-08-18 03:20:17,"không thay đổi được cỡ chữ, thiết kế màu sắc giao diện khó thấy cho người có tuổi",1,False,AKh0a,UIUX,
71,2021-07-24 13:14:33,Tài lanh không ai mượn luôn á mấy cha nội. Fix lỗi dùm luôn đi mấy anh zai,1,False,machayma,Viết app đúng khó chịu,
72,2021-07-20 13:45:46,Vừa tải app về bấm vào cái gì cũng load vô tận :))) bất lực vl,1,False,lala:>,Chán,
73,2021-03-30 13:28:24,Nên thêm phần nội dung chuyển tiền của người gửi đến cho mình ở thông báo biến động số dư trên app,2,False,TiLo9999,Chỉnh sửa,
74,2021-05-11 18:59:10,Mạng lẫn vù vù nhưng không vào app dc.  Cần nhanh chóng khắc phục giúp,1,False,nưmakkkaka,Dỏm,
75,2021-03-30 04:41:28,"App quá tệ, lỗi liên tục. Nhân viên không support",1,False,fhsjwnf,Lỗi,
76,2021-03-25 07:39:23,Thanh toán Vnpay bị crash,1,False,Ng. Mai,CRASH,
77,2021-03-15 18:49:49,"App liên tục lỗi, từ ngày nâng cấp lên bản mới, k lấy dc mã etoken nên chả giao dịch dc gì. Chán. Chắc từ nay say bye với TPbank. Dịch vụ cskh cũng k ra gì. Nvien quá chậm",1,False,Nguyễn Ngọc Tuyết Nhi,Tệ,
